,y
0,Bob
1,Bob
2,Atsuto
3,Atsuto
4,Bob
5,Jörg
6,Bob
7,Bob
8,Atsuto
9,Bob
10,Atsuto
11,Bob
12,Bob
13,Atsuto
14,Bob
15,Atsuto
16,Bob
17,Jörg
18,Bob
19,Atsuto
20,Atsuto
21,Bob
22,Jörg
23,Jörg
24,Atsuto
25,Bob
26,Bob
27,Atsuto
28,Bob
29,Bob
30,Atsuto
31,Atsuto
32,Atsuto
33,Bob
34,Bob
35,Atsuto
36,Jörg
37,Bob
38,Atsuto
39,Bob
40,Bob
41,Atsuto
42,Bob
43,Bob
44,Atsuto
45,Atsuto
46,Bob
47,Bob
48,Atsuto
49,Atsuto
50,Bob
51,Jörg
52,Jörg
53,Bob
54,Bob
55,Bob
56,Bob
57,Jörg
58,Bob
59,Bob
60,Bob
61,Bob
62,Bob
63,Bob
64,Bob
65,Atsuto
66,Bob
67,Atsuto
68,Bob
69,Jörg
70,Atsuto
71,Bob
72,Atsuto
73,Bob
74,Bob
75,Atsuto
76,Bob
77,Bob
78,Jörg
79,Atsuto
80,Bob
81,Bob
82,Atsuto
83,Atsuto
84,Atsuto
85,Bob
86,Atsuto
87,Bob
88,Bob
89,Bob
90,Bob
91,Bob
92,Bob
93,Jörg
94,Atsuto
95,Atsuto
96,Bob
97,Bob
98,Atsuto
99,Bob
100,Atsuto
101,Jörg
102,Bob
103,Jörg
104,Bob
105,Jörg
106,Jörg
107,Bob
108,Atsuto
109,Jörg
110,Atsuto
111,Bob
112,Bob
113,Bob
114,Atsuto
115,Jörg
116,Jörg
117,Bob
118,Atsuto
119,Atsuto
120,Bob
121,Bob
122,Atsuto
123,Bob
124,Atsuto
125,Atsuto
126,Jörg
127,Atsuto
128,Jörg
129,Bob
130,Bob
131,Bob
132,Jörg
133,Atsuto
134,Atsuto
135,Bob
136,Bob
137,Jörg
138,Atsuto
139,Jörg
140,Atsuto
141,Bob
142,Bob
143,Atsuto
144,Bob
145,Bob
146,Jörg
147,Bob
148,Atsuto
149,Atsuto
150,Jörg
151,Atsuto
152,Jörg
153,Bob
154,Atsuto
155,Bob
156,Atsuto
157,Atsuto
158,Bob
159,Atsuto
160,Atsuto
161,Bob
162,Bob
163,Bob
164,Bob
165,Atsuto
166,Jörg
167,Atsuto
168,Jörg
169,Bob
170,Bob
171,Bob
172,Atsuto
173,Atsuto
174,Bob
175,Atsuto
176,Atsuto
177,Bob
178,Bob
179,Atsuto
180,Jörg
181,Bob
182,Bob
183,Bob
184,Jörg
185,Bob
186,Bob
187,Bob
188,Bob
189,Bob
190,Bob
191,Jörg
192,Bob
193,Bob
194,Bob
195,Jörg
196,Bob
197,Atsuto
198,Atsuto
199,Bob
200,Bob
201,Atsuto
202,Bob
203,Atsuto
204,Jörg
205,Bob
206,Atsuto
207,Jörg
208,Atsuto
209,Bob
210,Jörg
211,Atsuto
212,Bob
213,Atsuto
214,Jörg
215,Jörg
216,Jörg
217,Atsuto
218,Bob
219,Atsuto
220,Jörg
221,Bob
222,Atsuto
223,Bob
224,Bob
225,Jörg
226,Atsuto
227,Jörg
228,Atsuto
229,Atsuto
230,Atsuto
231,Atsuto
232,Jörg
233,Atsuto
234,Bob
235,Bob
236,Atsuto
237,Bob
238,Bob
239,Atsuto
240,Atsuto
241,Atsuto
242,Bob
243,Jörg
244,Jörg
245,Bob
246,Bob
247,Jörg
248,Bob
249,Jörg
250,Jörg
251,Bob
252,Bob
253,Bob
254,Bob
255,Atsuto
256,Atsuto
257,Bob
258,Atsuto
259,Bob
260,Atsuto
261,Atsuto
262,Atsuto
263,Bob
264,Bob
265,Bob
266,Jörg
267,Jörg
268,Atsuto
269,Bob
270,Jörg
271,Atsuto
272,Jörg
273,Atsuto
274,Atsuto
275,Jörg
276,Bob
277,Atsuto
278,Jörg
279,Atsuto
280,Bob
281,Bob
282,Jörg
283,Jörg
284,Bob
285,Bob
286,Bob
287,Atsuto
288,Atsuto
289,Bob
290,Bob
291,Jörg
292,Jörg
293,Atsuto
294,Jörg
295,Bob
296,Bob
297,Bob
298,Bob
299,Atsuto
300,Bob
301,Atsuto
302,Atsuto
303,Jörg
304,Bob
305,Atsuto
306,Bob
307,Atsuto
308,Jörg
309,Bob
310,Atsuto
311,Atsuto
312,Jörg
313,Bob
314,Bob
315,Bob
316,Jörg
317,Jörg
318,Bob
319,Atsuto
320,Bob
321,Bob
322,Atsuto
323,Bob
324,Bob
325,Bob
326,Atsuto
327,Bob
328,Bob
329,Bob
330,Bob
331,Bob
332,Atsuto
333,Jörg
334,Atsuto
335,Atsuto
336,Bob
337,Bob
338,Atsuto
339,Bob
340,Bob
341,Bob
342,Bob
343,Bob
344,Bob
345,Atsuto
346,Bob
347,Bob
348,Bob
349,Bob
350,Atsuto
351,Bob
352,Jörg
353,Bob
354,Jörg
355,Bob
356,Jörg
357,Bob
358,Jörg
359,Jörg
360,Atsuto
361,Bob
362,Bob
363,Atsuto
364,Atsuto
365,Jörg
366,Atsuto
367,Bob
368,Bob
369,Bob
370,Bob
371,Atsuto
372,Jörg
373,Bob
374,Bob
375,Atsuto
376,Bob
377,Atsuto
378,Bob
379,Atsuto
380,Bob
381,Bob
382,Atsuto
